# timestamp(us),adc

2017,0

3016,1023

4017,1023

5015,1023

6018,1022

7017,1023

8016,1023

9014,1023

10018,1023

11016,1023

12058,1023

13101,1023

14143,1021

15185,1023

16227,1022

17269,1023

18311,1023

19353,1023

20395,1023

21438,1023

22480,1023

23522,1023

24564,1023

25606,1023

26648,1023

27690,1023

28733,1023

29775,1022

30817,1022

31859,1023

32901,1023

33943,1023

34985,1023

36027,1023

37070,1023

38112,1023

39154,1023

40196,1023
41238,1023

42280,1023

43322,1023

44364,1022

45407,1023

46449,1023

47491,1023

48533,1023

49575,1023

50617,1022

51659,1023

52701,1023

53743,1023

54786,1023

55828,1023

56870,1023

57912,1023

58954,1023

59996,1023

61038,1023

62080,1023

63123,1022

64165,1023

65207,1022

66249,1023

67291,1023

68333,1023

69375,1023

70417,1023

71460,1022

72502,1023

73544,1023

74586,1023

75628,1023
76670,1023

77712,1022

78754,1023

79797,1023

80839,1023

81881,1023

82923,1023

83965,1023

85010,1022

86049,1022

87092,1023

88134,1023

89176,1022

90218,1023

91260,1023

92302,1023

93344,1023

94386,1023

95428,1023

96471,1023

97513,1022

98555,1022

99597,1023

100639,1023

101768,1023

102897,1023

104026,1023

105155,1023

106284,1023

107413,1023

108542,1023

109671,1023

110800,1022

111929,1023

113058,1023

114187,1023

115316,1023
116445,1023

117574,1021

118703,1023

119832,1023

120960,1023

122090,1023

123218,1023

124347,1023

125476,1023

126605,1023

127734,1022

128863,1023

129992,1023

131121,1023

132250,1023

133379,1021

134508,1022

135637,1023

136766,1023

137895,1023

139024,1023

140153,1023

141282,1023

142411,1023

143540,1021

144669,1023

145798,1023

146927,1023

148056,1023

149185,1023

150314,1023

151443,1023

152572,1023

153701,1023

154830,1023

155958,1023

157087,1023
158216,1023

159345,1021

160474,1023

161603,1023

162732,1023

163861,1021

164990,1023

166119,1023

167248,1023

168377,1023

169506,1023

170635,1023

171764,1022

172893,1023

174022,1023

175151,1023

176280,1023

177409,1023

178538,1023

179667,1023

180796,1023

181925,1022

183055,1022

184183,917

185225,834

186267,757

187309,690

188351,626

189394,570

190435,518

191478,472

192520,429

193562,390

194604,356

195646,323

196688,293

197730,267

198773,246

199815,220

200857,200

201899,182

202941,165

203983,150

205025,137

206067,120

207110,113

208152,102

209194,94

210149,85

211104,79

212060,72

213015,65

213970,60

214925,55

215881,50

216836,48

217791,42

218747,39

219702,36

220657,33

221612,34

222568,28

223523,25

224478,23

225433,21

226389,19

227344,18

228299,17

229255,15

230210,13

231165,13

232121,13
233076,12

234031,9

234899,9

235768,10

236723,9

237592,9

238460,8

239329,8

240197,7

241065,6

241934,6

242802,5

243674,1

244539,1023

245668,1021

246797,1023

247926,1023

249055,1023

250184,1021

251313,1023

252442,1022

253571,1023

254700,1022

255829,1023

256958,1023

258087,1023

259216,1023

260345,1023

261473,1023

262602,1023

263732,1023

264860,1023

265989,1023

267118,1022
268247,1022

269376,1023

270505,1023

271634,1023

272763,1023

273892,1023

275021,1023

276150,1022

277279,1023

278408,1022

279537,1023

280666,1023

281795,1023

282924,1023

284053,1023

285182,1022

286311,1023

287440,1022

288569,1023

289698,1023

290827,1023

291956,1023

293085,1023

294214,1022

295343,1023

296472,1023

297600,1023

298730,1023

299858,1021

300987,1023

302116,1023

303247,1022

304375,918

305416,834

306459,756
307501,688

308543,626

309585,569

310627,519

311669,471

312711,430

313753,389

314796,354

315838,323

316880,293

317922,267

318964,242

320009,220

321048,200

322091,182

323133,165

324175,150

325217,136

326259,124

327301,112

328343,102

329385,92

330341,85

331296,78

332251,71

333207,67

334162,61

335117,55

336072,50

337028,45

337983,42

338938,39

339893,35

340849,31

341804,30

342759,29
343715,24

344670,23

345625,21

346580,17

347536,17

348491,17

349446,14

350402,14

351357,13

352312,12

353267,8

354136,10

355091,9

355959,9

356828,9

357696,7

358565,8

359433,7

360302,7

361170,5

362039,5

362907,5

363778,4

364644,1022

365773,1022

366902,1023

368031,1023

369160,1021

370289,1023

371418,1023

372547,1023

373675,1023
374805,1018

375933,1023

377062,1023

378191,1023

379320,1021

380449,1023

381578,1023

382707,1023

383836,1023

384965,1023

386094,1023

387223,1023

388352,1023

389481,1023

390610,1023

391739,1023

392868,1023

393997,1023

395126,1023

396255,1023

397384,1023

398513,1023

399642,1023

400771,1023
401900,1023

403029,1023

404158,1022

405287,1023

406416,1023

407545,1023

408673,1023

409802,1023

410932,1023

412060,1023

413189,1023

414318,1023

415447,1023

416576,1023

417705,1023

418834,1023

419963,1023

421092,1023

422221,1023

423350,1023

424479,1023

425608,1023

426737,1023

427866,1022

428995,1023

430124,1023

431253,1023

432382,1016

433511,1023

434640,1023

435769,1022

436898,1021

438027,1023

439156,1023

440285,1023

441414,1023

442543,1023
443672,1022

444800,1023

445930,1023

447058,1022

448187,1023

449316,1023

450445,1023

451574,1023

452703,1023

453832,1023

454961,1023

456090,1023

457219,1023

458348,1022

459477,1023

460606,1023

461735,1023

462864,1023

463993,1023

465122,1023

466251,1023

467380,1023

468509,1020

469638,1023

470767,1023

471896,1023

473025,1023

474154,1023

475283,1023

476412,1022

477541,1022

478670,1023

479798,1023

480927,1023

482056,1023

483185,1023

484314,1023
485443,1023

486572,1023

487701,1023

488830,1023

489959,1022

491088,1023

492217,1023

493346,1023

494475,1023

495604,1023

496733,1022

497862,1023

498991,1023

500120,1023

501249,1023

502378,1022

503507,1023

504636,1022

505765,1023

506894,1023

508023,1023

509152,1023

510281,1023

511410,1023

512538,1023

513668,1023

514796,1023

515925,1023

517054,1022

518183,1023

519312,1023

520441,1023

521570,1022

522699,1022

523828,1023
524957,1023

526086,1023

527215,1023

528344,1023

529473,1023

530602,1023

531731,1023

532860,1023

533989,1023

535118,1023

536247,1023

537376,1023

538505,1023

539634,1021

540763,1022

541892,1023

543022,1023

544150,919

545192,834

546234,757

547276,690

548318,627

549360,570

550402,518

551445,472

552487,429

553529,391

554571,355

555613,324

556655,295

557697,268

558739,243

559782,221

560824,200
561866,180

562908,166

563950,150

564992,137

566034,124

567076,113

568119,103

569161,93

570116,85

571071,78

572027,71

572982,65

573937,60

574892,54

575848,52

576803,47

577758,43

578713,39

579669,35

580624,33

581579,30

582535,31

583490,25

584445,26
585401,21

586356,19

587311,19

588266,16

589222,15

590177,13

591132,12

592087,12

593043,11

593998,10

594953,10

595909,9

596777,9

597645,8

598514,8

599382,6

600251,8

601119,6

601988,6

602856,5

603727,5

604593,1023

605722,1023

606851,1022

607980,1023

609109,1023

610238,1023

611367,1023

612496,1023

613625,1023

614753,1023

615882,1023

617012,1023

618140,1023

619269,1023

620398,1023
617012,1023

618140,1023

619269,1023

620398,1023

621527,1023

622656,1023

623785,1023

624914,1023

626043,1023

627172,1023

628301,1023

629430,1023

630559,1023

631688,1023

632817,1022

633946,1023

635075,1022

636204,1023

637333,1023

638462,1023

639591,1023

640720,1023

641849,1023

642978,1023

644107,1023

645236,1023

646365,1023

647494,1023

648623,1022

649752,1023

650880,1021

652010,1023

653138,1023

654267,1019

655396,1023

656525,1023

657654,1023

658783,1023

659912,1022

661041,1023

662170,1023
663301,1022

664428,918

665470,833

666512,757

667555,689

668597,624

669639,568

670681,518

671723,471

672765,429

673807,391

674850,354

675892,322

676934,293

677976,266

679018,242

680060,219

681102,201

682144,184

683186,164

684229,149

685271,136

686313,124

687355,112

688397,102

689439,92

690394,79

691350,78

692305,70

693260,65
694216,59

695171,55

696126,50

697081,46

698037,42

698992,39

699947,36

700903,33

